,index,location,bhk,total_sqft,bath,price,encoded_loc
2083,2737,Malleshwaram,2,1124.0,3.0,80.0,160
2084,2738,Balagere,2,1012.0,2.0,54.59,25
2085,2740,8th Phase JP Nagar,2,871.0,2.0,55.0,7
2086,2741,others,2,1020.0,2.0,40.0,230
2087,2742,Rachenahalli,3,1550.0,3.0,73.5,183
2088,2744,Akshaya Nagar,3,1410.0,2.0,80.0,11
2089,2745,Chikka Tirupathi,4,3500.0,5.0,150.0,57
2090,2746,Whitefield,2,1118.0,2.0,75.0,224
2091,2747,Thanisandra,2,1098.0,2.0,68.0,209
2092,2748,Kanakapura,2,1130.0,2.0,45.2,126
2093,2749,Sarjapur  Road,2,1145.0,2.0,75.0,194
2094,2751,others,2,1051.0,2.0,33.0,230
2095,2753,Marathahalli,2,1102.0,2.0,53.67,161
2096,2756,Hebbal,2,823.0,2.0,50.63,92
2097,2757,Abbigere,2,880.0,2.0,35.0,10
2098,2759,Budigere,3,1991.0,4.0,100.0,52
2099,2760,TC Palaya,3,1100.0,3.0,50.0,207
2100,2761,Gubbalala,3,1745.0,3.0,115.0,84
2101,2764,others,2,1100.0,2.0,70.0,230
2102,2766,5th Phase JP Nagar,2,1450.0,2.0,58.0,4
2103,2767,Singasandra,4,3366.0,4.0,120.0,201
2104,2768,Sahakara Nagar,2,1150.0,2.0,54.0,190
2105,2771,Bommanahalli,2,1090.0,3.0,44.0,47
2106,2772,Kaggadasapura,2,1132.0,2.0,42.0,118
2107,2773,Hulimavu,2,1375.0,2.0,80.0,105
2108,2775,Thanisandra,1,760.0,1.0,50.3,209
2109,2776,Kaggadasapura,2,1180.0,2.0,65.0,118
2110,2777,Jigani,2,918.0,2.0,45.0,113
2111,2779,Margondanahalli,2,1200.0,1.0,53.0,162
2112,2782,Ardendale,3,1728.0,3.0,95.0,19
2113,2784,BTM 2nd Stage,2,1200.0,2.0,80.0,22
2114,2785,6th Phase JP Nagar,2,1280.0,2.0,56.0,5
2115,2787,others,3,1455.0,2.0,56.0,230
2116,2788,Rachenahalli,1,440.0,1.0,28.0,183
2117,2789,Kanakpura Road,3,1500.0,3.0,97.0,127
2118,2790,Whitefield,3,1800.0,3.0,110.0,224
2119,2791,Mysore Road,3,1525.0,3.0,96.0,166
2120,2792,Rachenahalli,2,1204.0,2.0,38.5,183
2121,2793,Old Madras Road,2,1225.0,2.0,53.55,177
2122,2795,Bannerghatta Road,3,1650.0,3.0,122.0,34
2123,2797,others,4,4200.0,4.0,255.0,230
2124,2798,others,2,1200.0,2.0,55.0,230
2125,2800,9th Phase JP Nagar,2,1005.0,2.0,42.0,8
2126,2801,Whitefield,3,1562.0,3.0,103.0,224
2127,2802,Devanahalli,4,5000.0,5.0,395.0,65
2128,2804,Ramamurthy Nagar,2,1200.0,2.0,42.0,188
2129,2805,Kasavanhalli,3,1555.0,3.0,82.5,130
2130,2806,KR Puram,2,1550.0,2.0,71.0,115
2131,2807,Whitefield,2,1190.0,2.0,67.0,224
2132,2808,Chikkalasandra,2,1070.0,2.0,50.0,59
2133,2810,Jalahalli East,2,1020.0,2.0,42.48,112
2134,2811,Yelahanka,3,1610.0,3.0,115.0,226
2135,2812,others,1,700.0,1.0,41.0,230
2136,2813,others,3,1300.0,2.0,49.0,230
2137,2816,Hebbal,3,1069.0,3.0,65.4,92
2138,2817,Marathahalli,3,1900.0,3.0,123.0,161
2139,2818,Old Airport Road,2,1655.0,2.0,97.65,176
2140,2819,Uttarahalli,2,1155.0,2.0,40.42,216
2141,2820,Sarjapur  Road,3,1300.0,2.0,70.0,194
2142,2821,Electronic City,2,1100.0,2.0,45.0,74
2143,2822,Doddathoguru,2,1030.0,2.0,42.0,70
2144,2823,Vittasandra,2,2105.0,2.0,70.2,223
2145,2824,Bhoganhalli,3,1700.0,3.0,126.0,43
2146,2825,Jakkur,3,1760.0,3.0,139.0,110
2147,2827,others,2,1400.0,2.0,67.0,230
2148,2828,others,2,1200.0,2.0,53.0,230
2149,2829,Bannerghatta Road,2,912.0,2.0,55.0,34
2150,2830,Whitefield,2,1102.0,2.0,48.0,224
2151,2831,others,3,1535.0,3.0,55.0,230
2152,2833,Jigani,2,918.0,2.0,63.2,113
2153,2834,Begur Road,3,1500.0,2.0,70.0,39
2154,2836,Kasavanhalli,3,1476.0,3.0,89.0,130
2155,2837,Mysore Road,2,1200.0,2.0,65.0,166
2156,2838,Vijayanagar,1,606.0,1.0,34.78,220
2157,2839,others,2,1100.0,2.0,61.0,230
2158,2840,Garudachar Palya,3,1295.0,2.0,59.5,79
2159,2841,Neeladri Nagar,1,527.0,1.0,26.0,173
2160,2842,OMBR Layout,2,1300.0,2.0,80.0,175
2161,2844,others,1,1260.0,1.0,41.0,230
2162,2845,Koramangala,2,1140.0,2.0,75.2,144
2163,2847,Whitefield,3,2321.0,4.0,128.0,224
2164,2848,Sarjapur  Road,2,1390.0,2.0,62.0,194
2165,2849,Sarjapur  Road,3,1725.0,3.0,90.0,194
2166,2851,Hennur Road,3,1186.0,2.0,63.0,96
2167,2852,Kanakpura Road,2,1230.0,2.0,85.0,127
2168,2854,Yeshwanthpur,3,1313.0,3.0,96.0,229
2169,2856,Ambalipura,2,1250.0,2.0,66.25,12
2170,2858,Binny Pete,1,660.0,1.0,54.0,45
2171,2861,Old Madras Road,2,1100.0,2.0,70.0,177
2172,2865,Electronics City Phase 1,2,1015.0,2.0,56.0,76
2173,2866,Gottigere,1,812.0,1.0,26.0,82
2174,2867,others,3,1360.0,2.0,65.0,230
2175,2868,Nehru Nagar,3,2167.0,3.0,170.0,174
2176,2869,Raja Rajeshwari Nagar,2,1200.0,2.0,35.0,184
2177,2870,others,2,1165.0,2.0,75.0,230
2178,2871,BTM 2nd Stage,2,1274.0,2.0,70.0,22
2179,2872,Raja Rajeshwari Nagar,2,1151.0,2.0,39.02,184
2180,2874,Thubarahalli,3,1626.0,2.0,120.0,211
2181,2875,Banashankari Stage V,2,1035.0,2.0,35.77,29
2182,2876,others,3,1272.0,4.0,75.0,230
2183,2877,others,2,965.0,2.0,45.0,230
2184,2879,Kothannur,2,1070.0,2.0,42.79,145
2185,2880,Raja Rajeshwari Nagar,3,1570.0,2.0,65.0,184
2186,2882,others,2,780.0,2.0,25.0,230
2187,2883,others,3,1000.0,2.0,65.0,230
2188,2886,5th Phase JP Nagar,3,1700.0,2.0,100.0,4
2189,2887,Haralur Road,3,1850.0,3.0,110.0,90
2190,2888,Kereguddadahalli,2,904.0,2.0,30.0,137
2191,2889,others,2,1121.0,2.0,43.72,230
2192,2890,7th Phase JP Nagar,3,1385.0,2.0,58.17,6
2193,2891,Sahakara Nagar,2,1270.0,2.0,69.85,190
2194,2892,Kanakpura Road,3,1450.0,3.0,56.0,127
2195,2894,Mahadevpura,1,730.0,1.0,35.0,156
2196,2895,Raja Rajeshwari Nagar,3,1580.0,3.0,53.56,184
2197,2896,Thanisandra,2,1111.0,2.0,50.0,209
2198,2898,Varthur,2,977.0,2.0,36.0,217
2199,2899,others,2,674.0,1.0,19.9,230
2200,2901,Sarjapur,4,2540.0,4.0,115.0,193
2201,2902,Jakkur,2,1290.0,2.0,100.0,110
2202,2904,Abbigere,2,795.0,2.0,32.54,10
2203,2905,Kanakpura Road,2,700.0,1.0,35.0,127
2204,2908,others,3,1306.0,2.0,58.0,230
2205,2909,others,3,2401.0,3.0,185.0,230
2206,2910,Bommenahalli,4,1670.0,3.0,135.0,50
2207,2912,others,3,1200.0,3.0,90.0,230
2208,2913,Dodda Nekkundi,3,1804.0,3.0,121.0,67
2209,2915,Hoskote,3,1225.0,3.0,40.0,103
2210,2916,Thanisandra,2,1652.5,2.0,58.68,209
2211,2917,Bellandur,2,900.0,2.0,56.0,40
2212,2918,Binny Pete,2,1350.0,2.0,91.0,45
2213,2919,Kaggalipura,1,700.0,1.0,36.0,119
2214,2921,others,2,1160.0,2.0,46.39,230
2215,2922,Hennur Road,3,1680.0,3.0,99.27,96
2216,2923,LB Shastri Nagar,2,1043.0,2.0,55.0,151
2217,2925,Hebbal,2,1040.0,2.0,46.0,92
2218,2926,Tindlu,3,1357.0,2.0,65.0,213
2219,2928,others,2,1225.0,2.0,47.0,230
2220,2930,Yelachenahalli,2,1130.0,2.0,40.0,225
2221,2931,Basavangudi,4,2500.0,4.0,150.0,35
2222,2932,Sultan Palaya,3,1700.0,3.0,120.0,206
2223,2933,Doddathoguru,3,1549.0,3.0,65.0,70
2224,2934,Yeshwanthpur,2,1400.0,2.0,100.0,229
2225,2935,Dodda Nekkundi,2,1080.0,2.0,50.0,67
2226,2941,Abbigere,2,1005.0,2.0,39.59,10
2227,2942,Whitefield,2,1320.0,2.0,95.0,224
2228,2943,Anandapura,4,1475.0,2.0,50.0,15
2229,2944,Kudlu Gate,3,2489.0,2.0,99.745,148
2230,2945,others,2,1110.0,2.0,51.0,230
2231,2946,others,2,1300.0,2.0,54.0,230
2232,2948,Electronic City,2,1128.0,2.0,65.35,74
2233,2949,Jakkur,2,1452.19,2.0,100.0,110
2234,2951,Banashankari,3,2600.0,4.0,135.0,26
2235,2953,Sanjay nagar,2,630.0,1.0,35.0,191
2236,2954,Hosa Road,2,1243.0,2.0,48.5,101
2237,2955,others,2,960.0,2.0,32.0,230
2238,2956,others,3,1690.0,3.0,100.0,230
2239,2957,Whitefield,2,735.0,2.0,35.0,224
2240,2958,Banaswadi,2,1365.0,2.0,73.0,31
2241,2960,Hebbal,2,1420.0,2.0,99.39,92
2242,2961,Somasundara Palya,3,1570.0,3.0,68.0,202
2243,2962,Bisuvanahalli,2,850.0,1.0,32.0,46
2244,2963,7th Phase JP Nagar,3,1575.0,2.0,110.0,6
2245,2964,Thigalarapalya,2,1418.0,2.0,104.0,210
2246,2965,Uttarahalli,2,1050.0,2.0,42.0,216
2247,2967,Ulsoor,3,1340.0,3.0,90.0,215
2248,2968,Yelahanka New Town,3,1610.0,3.0,92.0,227
2249,2969,Electronic City Phase II,2,1160.0,2.0,33.5,75
2250,2970,Kudlu,2,1092.0,2.0,44.0,147
2251,2972,Yelahanka,3,1455.0,3.0,61.5,226
2252,2974,others,2,799.0,2.0,38.0,230
2253,2975,Whitefield,3,1896.0,3.0,75.0,224
2254,2976,Ardendale,2,1100.0,2.0,48.0,19
2255,2977,Bellandur,2,1350.0,2.0,79.0,40
2256,2978,others,3,1355.0,3.0,61.0,230
2257,2980,others,2,1350.0,2.0,90.0,230
2258,2982,Kasavanhalli,3,1493.0,3.0,82.0,130
2259,2983,8th Phase JP Nagar,2,1098.0,2.0,43.91,7
2260,2985,others,3,1460.0,3.0,88.0,230
2261,2988,Varthur,2,1091.0,2.0,32.0,217
2262,2989,Yelahanka,2,1180.0,2.0,42.0,226
2263,2990,Kanakpura Road,2,1366.0,3.0,76.85,127
2264,2991,others,3,1685.0,3.0,95.0,230
2265,2992,Koramangala,2,1260.0,2.0,100.0,144
2266,2993,Whitefield,3,3010.0,3.0,200.0,224
2267,2996,Whitefield,2,1346.0,2.0,96.17,224
2268,2998,Sarjapur  Road,3,2199.0,2.0,98.94,194
2269,2999,7th Phase JP Nagar,3,1850.0,3.0,140.0,6
2270,3001,Electronic City,2,755.0,1.0,34.0,74
2271,3003,others,2,1194.0,2.0,46.0,230
2272,3006,others,1,800.0,1.0,52.0,230
2273,3008,Vijayanagar,2,1352.0,2.0,68.0,220
2274,3009,Thanisandra,3,2002.0,3.0,112.0,209
2275,3010,others,4,4000.0,5.0,280.0,230
2276,3011,Kaval Byrasandra,2,1060.0,2.0,45.0,133
2277,3012,Kanakpura Road,3,1419.59,2.0,59.0,127
2278,3013,Raja Rajeshwari Nagar,2,1196.0,2.0,51.15,184
2279,3014,Electronic City,3,1220.0,2.0,35.24,74
2280,3015,Electronics City Phase 1,3,1595.0,3.0,75.0,76
2281,3016,Banashankari,2,1260.0,2.0,75.0,26
2282,3017,Hebbal,2,1100.0,2.0,47.0,92
2283,3019,ISRO Layout,2,1180.0,2.0,52.0,106
2284,3020,Electronic City,4,4000.0,5.0,150.0,74
2285,3021,Akshaya Nagar,3,1662.0,3.0,85.0,11
2286,3024,Ambedkar Nagar,3,1862.0,3.0,119.0,13
2287,3025,Raja Rajeshwari Nagar,2,1419.0,2.0,48.0,184
2288,3026,Whitefield,3,1410.0,3.0,43.71,224
2289,3027,Raja Rajeshwari Nagar,3,1560.0,2.0,62.4,184
2290,3029,Thanisandra,3,1634.0,3.0,78.0,209
2291,3031,Whitefield,3,1150.0,2.0,44.0,224
2292,3032,others,2,1100.0,2.0,53.0,230
2293,3033,Yelahanka,3,1616.0,3.0,65.0,226
2294,3034,Nagavarapalya,2,1392.0,2.0,99.0,172
2295,3035,Jakkur,3,1798.0,3.0,120.0,110
2296,3036,Babusapalaya,3,1675.0,3.0,75.0,24
2297,3038,others,5,2000.0,4.0,103.0,230
2298,3040,Hebbal,3,1700.0,3.0,124.0,92
2299,3041,Hulimavu,2,1248.0,2.0,69.0,105
2300,3042,others,2,1147.0,2.0,54.0,230
2301,3043,Sultan Palaya,2,1100.0,2.0,40.0,206
2302,3044,Vijayanagar,3,1527.0,3.0,115.0,220
2303,3046,Kanakpura Road,1,525.0,1.0,25.0,127
2304,3047,Kaggadasapura,2,1100.0,2.0,58.0,118
2305,3048,Seegehalli,2,1118.0,2.0,37.5,198
2306,3049,Kanakapura,3,1476.0,3.0,75.0,126
2307,3050,others,3,2100.0,3.0,75.0,230
2308,3051,others,3,1215.0,2.0,46.5,230
2309,3052,Ambalipura,2,1332.0,2.0,79.0,12
2310,3053,Hennur Road,2,1350.0,2.0,49.0,96
2311,3056,NGR Layout,2,1105.0,2.0,49.73,167
2312,3058,Kasavanhalli,2,1200.0,2.0,50.0,130
2313,3059,Ramagondanahalli,2,1251.0,2.0,47.4,187
2314,3061,Pai Layout,3,1400.0,2.0,67.0,179
2315,3063,Hegde Nagar,3,1703.0,3.0,113.0,94
2316,3064,NRI Layout,5,2500.0,5.0,130.0,168
2317,3065,Varthur,3,1250.0,3.0,71.0,217
2318,3066,Jigani,2,933.0,2.0,43.0,113
2319,3067,others,1,461.82,1.0,31.7,230
2320,3068,Brookefield,2,1262.0,2.0,75.0,51
2321,3069,Yelahanka,2,915.0,2.0,48.0,226
2322,3070,Panathur,3,1370.0,2.0,61.5,180
2323,3071,Malleshpalya,2,1210.0,2.0,55.0,159
2324,3073,others,3,1500.0,2.0,85.0,230
2325,3074,others,2,1065.0,2.0,50.0,230
2326,3076,Ramamurthy Nagar,3,1515.0,3.0,65.0,188
2327,3077,Sarjapura - Attibele Road,4,1800.0,4.0,110.0,195
2328,3079,Uttarahalli,3,1300.0,2.0,55.0,216
2329,3080,Vijayanagar,2,989.0,2.0,60.0,220
2330,3081,Jakkur,2,1300.0,2.0,85.0,110
2331,3084,Marathahalli,2,1045.0,2.0,60.0,161
2332,3085,others,2,1205.0,2.0,42.18,230
2333,3086,others,2,1260.0,2.0,75.0,230
2334,3089,Bommanahalli,3,1250.0,2.0,42.5,47
2335,3090,others,2,1199.0,2.0,50.0,230
2336,3093,Lakshminarayana Pura,2,1149.0,2.0,75.0,153
2337,3094,Sarjapur  Road,3,2180.0,3.0,170.0,194
2338,3098,Hulimavu,3,1818.0,3.0,135.0,105
2339,3099,others,2,1070.0,2.0,33.0,230
2340,3101,Nagarbhavi,3,1350.0,2.0,54.6,169
2341,3102,Chandapura,2,630.0,1.0,27.0,55
2342,3103,Hoodi,2,1430.0,2.0,113.0,97
2343,3104,Nagavara,3,2430.0,4.0,180.0,171
2344,3106,Sarjapur  Road,2,1084.0,2.0,55.0,194
2345,3107,Hennur Road,3,1186.0,2.0,56.0,96
2346,3108,Kengeri,2,1255.0,2.0,50.0,135
2347,3109,Haralur Road,4,3400.0,5.0,240.0,90
2348,3110,Hosa Road,3,1541.0,3.0,69.84,101
2349,3111,Iblur Village,4,3596.0,5.0,282.0,107
2350,3112,Raja Rajeshwari Nagar,2,1295.0,2.0,70.0,184
2351,3115,7th Phase JP Nagar,3,1370.0,2.0,54.79,6
2352,3116,Electronic City,2,1100.0,2.0,40.0,74
2353,3120,JP Nagar,2,1200.0,2.0,62.0,109
2354,3121,Gunjur,4,2000.0,3.0,95.0,85
2355,3125,Sarjapur  Road,3,1220.0,3.0,62.0,194
2356,3126,others,3,1950.0,3.0,130.0,230
2357,3127,Somasundara Palya,2,1178.0,2.0,73.0,202
2358,3128,Dasanapura,3,1286.0,3.0,61.44,63
2359,3129,Begur Road,2,1160.0,2.0,42.0,39
2360,3130,Jigani,2,918.0,2.0,55.0,113
2361,3131,Electronic City,3,1563.0,3.0,91.84,74
2362,3132,others,2,1326.0,2.0,62.17,230
2363,3135,Begur Road,2,1240.0,2.0,39.06,39
2364,3136,Kaggadasapura,2,1325.0,2.0,50.0,118
2365,3137,Sonnenahalli,2,1100.0,2.0,44.0,204
2366,3139,Gollarapalya Hosahalli,3,1605.0,3.0,50.0,81
2367,3141,Somasundara Palya,2,1260.0,2.0,60.0,202
2368,3142,Hoodi,3,1553.0,3.0,83.09,97
2369,3143,Whitefield,2,1280.0,2.0,52.0,224
2370,3144,Hebbal,3,1550.0,2.0,75.0,92
2371,3146,Murugeshpalya,3,1550.0,3.0,74.0,165
2372,3147,Electronics City Phase 1,3,1515.0,2.0,80.91,76
2373,3148,Hosa Road,3,1332.0,2.0,86.12,101
2374,3149,Electronic City,3,1652.0,3.0,70.0,74
2375,3150,Hegde Nagar,3,1570.0,3.0,105.0,94
2376,3152,Sector 2 HSR Layout,1,794.0,1.0,60.0,196
2377,3153,Seegehalli,3,1200.0,2.0,62.0,198
2378,3159,Sarjapur  Road,3,1750.0,3.0,110.0,194
2379,3160,Hebbal,2,1053.0,2.0,48.0,92
2380,3162,Kadubeesanahalli,3,1665.0,3.0,70.0,116
2381,3165,Bommasandra,3,1447.0,3.0,80.0,48
2382,3166,Balagere,2,1012.0,2.0,75.0,25
2383,3167,Malleshpalya,3,1900.0,3.0,60.0,159
2384,3168,others,2,1308.0,2.0,92.66,230
2385,3170,Hormavu,1,1351.0,2.0,53.0,100
2386,3173,Gunjur,2,1140.0,2.0,49.11,85
2387,3174,Jakkur,4,4305.905,4.0,260.5,110
2388,3175,Uttarahalli,3,1250.0,2.0,55.0,216
2389,3176,Kanakapura,3,1290.0,3.0,45.15,126
2390,3178,Garudachar Palya,3,1320.0,2.0,60.6,79
2391,3179,Akshaya Nagar,3,1662.0,3.0,85.5,11
2392,3184,Battarahalli,3,1777.0,3.0,100.0,37
2393,3185,Kadugodi,3,1900.0,3.0,108.0,117
2394,3186,Anandapura,3,1576.0,3.0,59.1,15
2395,3187,Sompura,2,1020.0,2.0,41.0,203
2396,3188,others,3,2100.0,3.0,170.0,230
2397,3189,Raja Rajeshwari Nagar,1,648.0,1.0,31.75,184
2398,3190,Neeladri Nagar,3,1167.0,2.0,38.0,173
2399,3192,Hoodi,2,1220.0,2.0,50.89,97
2400,3194,Vittasandra,2,1259.0,2.0,67.4,223
2401,3195,Gottigere,4,2000.0,4.0,82.0,82
2402,3196,8th Phase JP Nagar,3,1800.0,3.0,80.0,7
2403,3197,others,3,1991.0,3.0,160.0,230
2404,3198,Bannerghatta,3,1665.0,3.0,110.0,33
2405,3199,others,2,1234.0,2.0,61.0,230
2406,3200,Mysore Road,3,1340.0,2.0,64.31,166
2407,3201,Banashankari,2,1170.0,2.0,46.79,26
2408,3202,Electronics City Phase 1,2,995.0,2.0,46.0,76
2409,3203,Old Airport Road,2,1075.0,2.0,60.0,176
2410,3204,Electronic City,2,1025.0,2.0,54.5,74
2411,3205,Rachenahalli,3,2721.0,3.0,113.0,183
2412,3206,Thanisandra,3,2000.0,3.0,99.0,209
2413,3207,Whitefield,4,2500.0,4.0,155.0,224
2414,3208,Mallasandra,2,1325.0,2.0,70.0,158
2415,3209,Kadugodi,2,1314.0,2.0,68.2,117
2416,3210,Kanakpura Road,3,2265.0,3.0,136.0,127
2417,3212,Yelahanka,2,1026.0,2.0,41.0,226
2418,3213,others,3,1200.0,3.0,66.0,230
2419,3214,others,3,2220.0,4.0,65.0,230
2420,3215,KR Puram,2,1727.5,2.0,51.22,115
2421,3217,Sarjapur  Road,3,1888.0,4.0,95.0,194
2422,3218,JP Nagar,2,1300.0,2.0,90.87,109
2423,3219,Rajaji Nagar,2,1216.0,2.0,97.16,185
2424,3221,Begur,3,1559.0,3.0,63.0,38
2425,3222,Harlur,2,1290.0,2.0,87.0,91
2426,3224,Whitefield,1,905.0,1.0,55.0,224
2427,3225,others,2,1069.0,2.0,55.0,230
2428,3229,Sarjapur  Road,3,1300.0,3.0,60.0,194
2429,3230,Channasandra,2,1115.0,2.0,33.45,56
2430,3232,Ambedkar Nagar,3,2150.0,4.0,125.0,13
2431,3233,Marathahalli,3,1305.0,2.0,69.0,161
2432,3234,Kanakpura Road,2,1252.0,2.0,56.32,127
2433,3236,Whitefield,2,1200.0,2.0,46.13,224
2434,3239,others,2,1375.0,2.0,105.0,230
2435,3240,Subramanyapura,2,1313.0,2.0,66.5,205
2436,3241,Attibele,4,3640.0,4.0,275.0,21
2437,3242,others,3,1693.0,3.0,108.0,230
2438,3243,others,2,1160.0,2.0,41.75,230
2439,3245,Subramanyapura,3,1255.0,2.0,79.0,205
2440,3247,others,2,900.0,2.0,45.0,230
2441,3248,Yelahanka New Town,3,1700.0,3.0,90.0,227
2442,3250,Uttarahalli,3,1700.0,3.0,88.0,216
2443,3251,Harlur,3,1749.0,3.0,115.0,91
2444,3252,Dasanapura,2,1500.0,3.0,65.0,63
2445,3253,others,2,1175.0,2.0,48.0,230
2446,3254,Akshaya Nagar,2,1280.0,2.0,60.0,11
2447,3255,others,2,1200.0,2.0,50.0,230
2448,3256,Ramagondanahalli,3,1610.0,2.0,115.0,187
2449,3257,Electronic City,2,1070.0,2.0,46.0,74
2450,3258,TC Palaya,2,1200.0,2.0,66.0,207
2451,3259,9th Phase JP Nagar,2,1127.0,2.0,50.0,8
2452,3261,others,2,600.0,2.0,23.0,230
2453,3263,others,2,1364.0,2.0,70.0,230
2454,3264,Whitefield,4,2268.0,3.0,146.0,224
2455,3265,others,3,1150.0,2.0,77.5,230
2456,3266,others,2,1146.0,2.0,39.5,230
2457,3267,Magadi Road,2,1345.0,2.0,55.0,155
2458,3268,others,2,1110.0,2.0,41.0,230
2459,3269,Kengeri,2,750.0,2.0,36.0,135
2460,3270,others,2,1156.0,2.0,49.5,230
2461,3271,others,2,1247.0,2.0,59.8,230
2462,3272,others,2,1058.0,2.0,60.0,230
2463,3273,Kaggalipura,2,950.0,2.0,48.0,119
2464,3276,Vijayanagar,3,1520.0,2.0,103.0,220
2465,3278,others,1,900.0,1.0,30.0,230
2466,3279,Hennur Road,3,2350.0,3.0,174.0,96
2467,3280,Thanisandra,2,1050.0,2.0,46.0,209
2468,3282,Laggere,5,2800.0,5.0,125.0,152
2469,3283,others,3,1500.0,2.0,65.0,230
2470,3284,others,2,1400.0,2.0,65.0,230
2471,3286,8th Phase JP Nagar,4,2700.0,4.0,130.0,7
2472,3287,Bommasandra,2,920.0,2.0,37.46,48
2473,3288,Sarjapur  Road,3,1200.0,3.0,70.0,194
2474,3294,Haralur Road,2,1464.0,2.0,56.0,90
2475,3296,Electronics City Phase 1,3,1555.0,2.0,82.0,76
2476,3298,Whitefield,2,1150.0,2.0,55.0,224
2477,3299,Kadubeesanahalli,2,970.0,2.0,35.0,116
2478,3300,Banashankari,4,2500.0,4.0,95.0,26
2479,3301,others,2,1166.0,2.0,53.0,230
2480,3303,Electronic City,3,1350.0,3.0,58.0,74
2481,3304,others,2,900.0,2.0,46.0,230
2482,3306,others,3,1190.0,3.0,55.0,230
2483,3307,Kodichikkanahalli,3,1495.0,2.0,75.0,138
2484,3309,Banashankari Stage III,3,1350.0,2.0,68.0,28
2485,3310,Green Glen Layout,2,940.0,2.0,56.8,83
2486,3311,Raja Rajeshwari Nagar,2,1100.0,2.0,55.0,184
2487,3312,Kaikondrahalli,2,1300.0,2.0,61.0,120
2488,3314,Hoodi,2,1105.0,2.0,46.37,97
2489,3315,Sarjapur  Road,3,2600.0,3.0,200.0,194
2490,3316,Yelahanka,3,1517.0,3.0,76.3,226
2491,3318,Jalahalli,3,1615.0,3.0,89.75,111
2492,3319,others,3,1500.0,3.0,65.0,230
2493,3320,Mysore Road,3,1082.0,3.0,50.5,166
2494,3321,Marathahalli,2,1365.0,2.0,73.0,161
2495,3323,CV Raman Nagar,2,1392.0,2.0,98.0,53
2496,3324,Kodigehalli,2,1086.0,2.0,33.66,140
2497,3325,Hennur Road,3,1586.0,3.0,93.94,96
2498,3326,Hennur,2,1100.0,2.0,60.0,95
2499,3327,Electronic City Phase II,2,1065.0,2.0,30.75,75
2500,3328,TC Palaya,3,1500.0,2.0,120.0,207
2501,3329,7th Phase JP Nagar,3,1575.0,2.0,120.0,6
2502,3330,Hennur Road,3,1975.0,3.0,123.0,96
2503,3331,others,2,820.0,2.0,24.0,230
2504,3332,Gubbalala,3,1745.0,3.0,110.0,84
2505,3333,Nagarbhavi,2,1223.0,2.0,60.0,169
2506,3334,Ananth Nagar,3,1200.0,2.0,65.0,16
2507,3335,Basaveshwara Nagar,2,1200.0,2.0,90.0,36
2508,3336,Binny Pete,1,665.0,1.0,46.08,45
2509,3337,Bharathi Nagar,2,1351.0,2.0,70.0,42
2510,3339,Sector 7 HSR Layout,3,3900.0,3.0,300.0,197
2511,3340,Thanisandra,3,1588.0,3.0,75.55,209
2512,3341,Amruthahalli,2,900.0,2.0,60.0,14
2513,3343,Harlur,4,3385.0,4.0,260.0,91
2514,3344,Panathur,3,1370.0,2.0,75.0,180
2515,3345,Whitefield,3,1500.0,3.0,71.8,224
2516,3348,Hoodi,2,1247.0,2.0,53.0,97
2517,3350,Balagere,2,1020.07,2.0,68.38,25
2518,3351,others,3,1033.0,2.0,32.0,230
2519,3352,others,3,1460.0,2.0,73.0,230
2520,3353,Garudachar Palya,2,1150.0,2.0,52.8,79
2521,3354,Sarjapur  Road,5,5965.0,5.0,385.0,194
2522,3355,Babusapalaya,2,1141.0,2.0,46.0,24
2523,3357,Doddaballapur,4,4200.0,4.0,325.0,68
2524,3358,Hosa Road,3,1665.0,2.0,125.0,101
2525,3359,Kanakapura,2,1295.0,2.0,64.0,126
2526,3360,Haralur Road,2,1230.0,2.0,78.0,90
2527,3361,others,3,1080.0,2.0,75.0,230
2528,3362,Kaggalipura,2,1000.0,2.0,60.0,119
2529,3364,Whitefield,1,937.0,1.0,32.79,224
2530,3365,Rayasandra,3,1708.0,3.0,75.0,189
2531,3366,Thanisandra,3,1697.0,3.0,115.0,209
2532,3367,Whitefield,4,3537.0,5.0,210.0,224
2533,3368,Hosa Road,1,615.0,1.0,28.29,101
2534,3369,Banashankari,3,1350.0,2.0,83.0,26
2535,3370,Kanakpura Road,3,2245.0,2.0,66.4,127
2536,3371,Jalahalli,2,1083.0,2.0,32.49,111
2537,3372,Gottigere,3,1460.0,2.0,65.0,82
2538,3373,Babusapalaya,2,1084.0,2.0,58.0,24
2539,3374,Bommasandra,2,1035.0,2.0,41.43,48
2540,3375,others,3,2400.0,2.0,150.0,230
2541,3376,Hosur Road,1,460.0,1.0,21.0,104
2542,3378,Whitefield,2,1285.0,2.0,55.9,224
2543,3380,Sarjapur,3,1200.0,3.0,78.0,193
2544,3381,others,2,1070.0,2.0,35.0,230
2545,3382,Hegde Nagar,3,1801.0,3.0,140.0,94
2546,3383,Whitefield,3,1697.0,3.0,115.0,224
2547,3384,AECS Layout,2,1199.0,2.0,65.0,9
2548,3387,Marathahalli,4,3800.0,4.0,205.0,161
2549,3389,others,2,1125.0,2.0,75.0,230
2550,3390,Anandapura,2,1200.0,2.0,67.0,15
2551,3391,Subramanyapura,2,1050.0,2.0,41.0,205
